iter	Passed	Remaining
637	5631	3195
638	5638	3185
639	5645	3175
640	5650	3164
641	5658	3155
642	5668	3146
643	5675	3137
644	5683	3127
645	5688	3117
646	5698	3109
647	5705	3099
648	5711	3088
649	5720	3080
650	5727	3070
651	5734	3060
652	5742	3051
653	5749	3041
654	5756	3032
655	5764	3022
656	5772	3013
657	5778	3003
658	5787	2994
659	5794	2984
660	5800	2974
661	5810	2966
662	5816	2956
663	5822	2946
664	5830	2936
665	5838	2927
666	5849	2920
667	5858	2911
668	5867	2903
669	5877	2895
670	5888	2887
671	5897	2878
672	5907	2870
673	5914	2860
674	5925	2852
675	5931	2843
676	5937	2832
677	5945	2823
678	5954	2814
679	5962	2805
680	5968	2795
681	5975	2786
682	5983	2776
683	5987	2766
684	5993	2755
685	6007	2749
686	6013	2739
687	6020	2730
688	6027	2720
689	6034	2711
690	6044	2702
691	6051	2693
692	6061	2685
693	6069	2676
694	6084	2670
695	6091	2660
696	6103	2653
697	6112	2644
698	6121	2635
699	6127	2626
700	6134	2616
701	6140	2606
702	6146	2596
703	6152	2586
704	6157	2576
705	6164	2567
706	6170	2557
707	6176	2547
708	6183	2537
709	6190	2528
710	6199	2519
711	6206	2510
712	6213	2501
713	6222	2492
714	6231	2483
715	6240	2475
716	6246	2465
717	6254	2456
718	6260	2446
719	6265	2436
720	6277	2429
721	6284	2419
722	6292	2410
723	6299	2401
724	6304	2391
725	6314	2383
726	6320	2373
727	6326	2363
728	6333	2354
729	6339	2344
730	6344	2334
731	6352	2325
732	6359	2316
733	6366	2307
734	6374	2298
735	6379	2288
736	6386	2278
737	6393	2269
738	6399	2260
739	6405	2250
740	6415	2242
741	6425	2234
742	6434	2225
743	6443	2217
744	6450	2207
745	6457	2198
746	6473	2192
747	6481	2183
748	6488	2174
749	6495	2165
750	6504	2156
751	6511	2147
752	6519	2138
753	6526	2129
754	6532	2119
755	6541	2111
756	6546	2101
757	6556	2093
758	6564	2084
759	6574	2076
760	6581	2067
761	6590	2058
762	6596	2048
763	6604	2040
764	6610	2030
765	6617	2021
766	6624	2012
767	6630	2002
768	6642	1995
769	6652	1987
770	6661	1978
771	6672	1970
772	6680	1961
773	6688	1952
774	6699	1945
775	6708	1936
776	6713	1926
777	6722	1918
778	6730	1909
779	6737	1900
780	6746	1891
781	6757	1883
782	6765	1874
783	6775	1866
784	6783	1858
785	6793	1849
786	6799	1840
787	6808	1831
788	6815	1822
789	6823	1813
790	6830	1804
791	6837	1795
792	6847	1787
793	6855	1778
794	6862	1769
795	6868	1760
796	6879	1752
797	6890	1744
798	6897	1735
799	6907	1726
800	6914	1717
801	6921	1708
802	6932	1700
803	6942	1692
804	6955	1684
805	6963	1676
806	6971	1667
807	6978	1658
808	6987	1649
809	6994	1640
810	7002	1631
811	7010	1623
812	7021	1614
813	7034	1607
814	7043	1598
815	7048	1589
816	7059	1581
817	7066	1572
818	7079	1564
819	7086	1555
820	7096	1547
821	7104	1538
822	7117	1530
823	7128	1522
824	7137	1514
825	7147	1505
826	7159	1497
827	7165	1488
828	7176	1480
829	7188	1472
830	7197	1463
831	7202	1454
832	7210	1445
833	7223	1437
834	7232	1429
835	7243	1421
836	7253	1412
837	7266	1404
838	7272	1395
839	7279	1386
840	7290	1378
841	7299	1369
842	7308	1361
843	7314	1352
844	7320	1342
845	7329	1334
846	7336	1325
847	7343	1316
848	7353	1307
849	7365	1299
850	7373	1291
851	7380	1282
852	7386	1272
853	7393	1264
854	7401	1255
855	7412	1247
856	7420	1238
857	7429	1229
858	7435	1220
859	7443	1211
860	7451	1202
861	7457	1193
862	7469	1185
863	7476	1176
864	7488	1168
865	7495	1159
866	7501	1150
867	7510	1142
868	7521	1133
869	7530	1125
870	7537	1116
871	7545	1107
872	7551	1098
873	7557	1089
874	7566	1080
875	7575	1072
876	7584	1063
877	7593	1055
878	7601	1046
879	7610	1037
880	7619	1029
881	7626	1020
882	7631	1011
883	7642	1002
884	7650	994
885	7658	985
886	7668	976
887	7677	968
888	7684	959
889	7691	950
890	7699	941
891	7706	933
892	7714	924
893	7725	915
894	7731	907
895	7740	898
896	7751	890
897	7757	881
898	7763	872
899	7774	863
900	7780	854
901	7791	846
902	7799	837
903	7810	829
904	7819	820
905	7831	812
906	7837	803
907	7845	794
908	7859	786
909	7867	778
910	7878	769
911	7886	761
912	7899	752
913	7908	744
914	7916	735
915	7927	727
916	7936	718
917	7942	709
918	7951	700
919	7959	692
920	7968	683
921	7976	674
922	7985	666
923	7990	657
924	8001	648
925	8009	640
926	8020	631
927	8029	622
928	8036	614
929	8042	605
930	8049	596
931	8059	588
932	8068	579
933	8076	570
934	8084	562
935	8092	553
936	8097	544
937	8107	535
938	8114	527
939	8123	518
940	8133	509
941	8140	501
942	8149	492
943	8156	483
944	8163	475
945	8169	466
946	8175	457
947	8182	448
948	8192	440
949	8199	431
950	8206	422
951	8217	414
952	8228	405
953	8236	397
954	8246	388
955	8257	380
956	8265	371
957	8273	362
958	8283	354
959	8288	345
960	8297	336
961	8303	327
962	8314	319
963	8320	310
964	8327	302
965	8334	293
966	8341	284
967	8353	276
968	8365	267
969	8373	258
970	8385	250
971	8395	241
972	8402	233
973	8410	224
974	8417	215
975	8430	207
976	8436	198
977	8444	189
978	8450	181
979	8456	172
980	8466	163
981	8477	155
982	8487	146
983	8493	138
984	8508	129
985	8514	120
986	8522	112
987	8531	103
988	8538	94
989	8545	86
990	8552	77
991	8563	69
992	8568	60
993	8578	51
994	8583	43
995	8589	34
996	8597	25
997	8603	17
998	8609	8
999	8621	0
